Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
NCF1	+			
NCEH1	+			
NCBP2	+			
NCAPH	+			
NCAPG	+			
NCAN	+			
NCALD	+			+
NBEAL1	+			
NANP	+			
NANOS3	+			
NAGLU	+			
NADSYN1	+			
NADK	+			
NAALADL2	+			
NAA50	+			
NAA40	+			+
MZT2B	+			
MYRIP	+			
MYOZ3	+			
MYO9B	+			
MYO1F	+			
MYO1E	+			
MYO18B	+			
MYLK	+			
MYL6	+	+		
MYH7B	+			
MYH7	+			
MYH16	+			
MYEF2	+			
MYBBP1A	+			
MYADML2	+			
MXI1	+			
MVP	+			
MVK	+			
MVD	+			
MVB12A	+			
MUS81	+			
MUCL1	+			
MUC5B	+			
MUC20	+			
MUC2	+			
MUC15	+			
MTUS2	+			
MTUS1	+			
MTSS1	+			
MTRR	+			
MTRF1	+			
MTNR1B	+			
MTMR4	+			
MTMR1	+			
MTHFD1L	+			
MTF1	+			
MTCH1	+			
MST1	+			
MSS51	+			
MSRA	+			+
MSL1	+			
MSH2	+			
MRVI1	+			
MRPL48	+			
MRPL43	+			
MRPL41	+			
MRGBP	+			
MREG	+			
MRC2	+			
MR1	+			
MPV17	+			
MPTX1	+			
MPO	+			
MPND	+			
MPI	+			
MPG	+			
MORN2	+			
MOGAT3	+			
MNX1	+			
MNS1	+			
MMS22L	+			
MMRN2	+			
MMP23B	+			
MMP23A	+			
MMP19	+			
MMP15	+			
MMEL1	+			
MME	+			+
MLPH	+			
MLNR	+			
MLLT4-AS1	+			
MLIP	+			
MLH1	+			
MKS1	+			
MKNK1	+			
MITF-C	+			
MITF	+			
MIR22HG	+			
MINK1	+			
mifr-2	+			
MIF4GD	+			
MIER2	+			
MIEF2	+			
MID2	+			
MICB	+			
MICAL2	+			
MICA	+			
MIB2	+			
MGRN1	+			+
MGAT4B	+			
MFSD4	+			
MFSD12	+			
MFSD11	+			
MFSD10	+			
MFSD1	+			
MFAP4	+			
MEX3C	+			
METTL25	+			
METTL22	+			
METRN	+			
MERTK	+			
MEOX1	+			
MEN1	+			
MELK	+			
MEIS3P1	+			
MEIS3	+			
MEIS2	+			
MEGF6	+			
MEGF11	+			
MEF2D	+			
MEF2C	+			
MEF2B	+			
MEF2A	+			
MED7	+			
MED24	+			
MED20	+			
MED15	+			
MEA1	+			
ME3	+			
MDM1	+			
MCTS1	+			
MCTP2	+			
MCTP1	+			
MCF2L	+			
MCEE	+		+	
MCAM	+			
MBTD1	+			
MBP	+			
MBOAT7	+			
MBNL1	+			
MBD4	+			
MBD3L5	+			
MBD3L4	+			
MBD3L3	+			
MBD3L2	+			
MB	+			
MAZ	+			
MATR3	+			
MAST4	+			
MARK3	+			
MARK2	+			
MARCKSL1	+			+
MARCKS	+			+
Mar-06	+			
Mar-02	+			
Mar-01	+			+
MAPKBP1	+			
MAPK11	+			
MAP4K1	+			
MAP3K19	+			
MAP2K3	+			
MAOA	+			
MAN2B2	+			
MAN2B1	+			
MAML3	+			
MAML2	+			
MALT1	+			
MALSU1	+			
MAGI2	+			
MAGI1	+			
MAGEC1	+			
MAGEB16	+			
MAFF	+			
MADCAM1	+			
MACF1	+	+		
M6PR	+			
LZTS1	+			+
LYRM7	+			
LYRM1	+			
LYPD4	+			
LYN	+			+
LY6G6E	+			
LVRN	+			
LUC7L	+			
LTN1	+			
LTK	+			
LTF	+			
LTBR	+			
LTBP4	+			
